id,real_construction_probability,is_likely_real
686,0.6009812,1
687,0.6009812,1
688,0.6009812,1
689,0.6009812,1
690,0.6009812,1
691,0.6009812,1
692,0.8062388,1
693,0.6009812,1
694,0.6009812,1
695,0.8062388,1
696,0.79226935,1
697,0.6009812,1
698,0.8062388,1
699,0.52098125,1
700,0.6840536,1
701,0.6009812,1
702,0.6009812,1
703,0.6009812,1
704,0.52098125,1
705,0.52098125,1
706,0.6840536,1
707,0.52098125,1
708,0.6009812,1
709,0.52098125,1
710,0.52098125,1
711,0.52098125,1
712,0.52098125,1
713,0.52098125,1
714,0.52098125,1
715,0.52098125,1
716,0.6009812,1
717,0.6009812,1
718,0.52098125,1
719,0.6009812,1
720,0.52098125,1
721,0.6009812,1
722,0.1663606,0
723,0.52098125,1
724,0.52098125,1
725,0.6840536,1
726,0.52098125,1
727,0.6009812,1
728,0.6009812,1
729,0.6009812,1
730,0.6009812,1
731,0.5765072,1
732,0.6009812,1
733,0.6009812,1
734,0.88602626,1
735,0.6009812,1
736,0.6009812,1
737,0.6009812,1
738,0.52098125,1
739,0.52098125,1
740,0.6009812,1
741,0.6009812,1
742,0.6009812,1
743,0.6009812,1
744,0.6009812,1
745,0.6009812,1
746,0.52098125,1
747,0.52098125,1
748,0.6009812,1
749,0.6009812,1
750,0.5765072,1
751,0.6009812,1
752,0.52098125,1
753,0.6009812,1
754,0.52098125,1
755,0.6009812,1
756,0.6009812,1
757,0.52098125,1
758,0.6009812,1
759,0.52098125,1
760,0.7184561,1
761,0.79226935,1
762,0.8062388,1
763,0.6009812,1
764,0.6009812,1
765,0.6009812,1
766,0.6009812,1
767,0.6009812,1
768,0.8078629,1
769,0.6009812,1
770,0.6009812,1
771,0.6009812,1
772,0.6009812,1
773,0.36535126,0
774,0.6009812,1
775,0.8367903,1
776,0.6009812,1
777,0.52098125,1
778,0.6009812,1
779,0.67127573,1
780,0.6009812,1
781,0.6704661,1
782,0.52098125,1
783,0.6009812,1
784,0.52098125,1
785,0.6009812,1
786,0.6009812,1
787,0.6009812,1
788,0.6009812,1
789,0.6009812,1
790,0.100406885,0
791,0.067888625,0
792,0.6009812,1
793,0.6009812,1
794,0.81326944,1
795,0.6009812,1
796,0.8062388,1
797,0.6009812,1
798,0.6009812,1
799,0.52098125,1
800,0.6009812,1
801,0.6009812,1
802,0.6009812,1
803,0.52098125,1
804,0.6009812,1
805,0.6009812,1
806,0.6009812,1
807,0.6009812,1
808,0.6009812,1
809,0.52098125,1
810,0.7184561,1
811,0.6009812,1
812,0.7184561,1
813,0.7184561,1
814,0.6009812,1
815,0.6009812,1
816,0.52098125,1
817,0.8062388,1
818,0.52098125,1
819,0.6009812,1
820,0.6009812,1
821,0.52098125,1
822,0.91507155,1
823,0.7184561,1
824,0.6009812,1
825,0.6009812,1
826,0.6009812,1
827,0.6704661,1
828,0.88602626,1
829,0.6009812,1
830,0.6009812,1
831,0.6009812,1
832,0.6009812,1
